service,date_added,Movie,TV Show
Disney,2000,,3.0
Disney,2019,630.0,135.0
Disney,2020,230.0,122.0
Disney,2021,192.0,138.0
Hulu,2000,,28.0
Hulu,2006,,1.0
Hulu,2008,,2.0
Hulu,2009,,7.0
Hulu,2010,,12.0
Hulu,2011,,16.0
Hulu,2012,1.0,15.0
Hulu,2013,3.0,31.0
Hulu,2014,11.0,38.0
Hulu,2015,8.0,61.0
Hulu,2016,5.0,61.0
Hulu,2017,28.0,169.0
Hulu,2018,99.0,171.0
Hulu,2019,216.0,190.0
Hulu,2020,466.0,349.0
Hulu,2021,647.0,438.0
Netflix,2000,,10.0
Netflix,2008,1.0,1.0
Netflix,2009,2.0,
Netflix,2010,1.0,
Netflix,2011,13.0,
Netflix,2012,3.0,
Netflix,2013,6.0,5.0
Netflix,2014,19.0,5.0
Netflix,2015,56.0,26.0
Netflix,2016,253.0,176.0
Netflix,2017,839.0,349.0
Netflix,2018,1237.0,412.0
Netflix,2019,1424.0,592.0
Netflix,2020,1284.0,595.0
Netflix,2021,993.0,505.0
Prime,2000,7798.0,1715.0
Prime,2021,16.0,139.0
