release_year,count
1920,3
1922,2
1923,2
1924,1
1925,9
1926,2
1927,1
1928,1
1929,4
1930,5
1931,3
1932,11
1933,9
1934,16
1935,19
1936,35
1937,30
1938,20
1939,26
1940,23
1941,29
1942,24
1943,26
1944,16
1945,19
1946,25
1947,28
1948,20
1949,19
1950,30
1951,24
1952,24
1953,31
1954,22
1955,23
1956,23
1957,13
1958,20
1959,26
1960,20
1961,18
1962,21
1963,29
1964,20
1965,19
1966,15
1967,26
1968,24
1969,24
1970,31
1971,26
1972,34
1973,32
1974,38
1975,41
1976,26
1977,28
1978,36
1979,37
1980,42
1981,42
1982,42
1983,34
1984,51
1985,53
1986,66
1987,52
1988,76
1989,78
1990,76
1991,75
1992,96
1993,115
1994,113
1995,125
1996,117
1997,135
1998,138
1999,150
2000,167
2001,173
2002,189
2003,202
2004,232
2005,266
2006,323
2007,334
2008,386
2009,414
2010,492
2011,575
2012,649
2013,735
2014,922
2015,1147
2016,1649
2017,1892
2018,2105
2019,2470
2020,2406
2021,2385
